1,2018-03-01,1330.742
1,2018-03-02,1341.5166
1,2018-03-05,1350.9055546219315
1,2018-03-06,1360.3018699071695
1,2018-03-07,1367.0437714289094
1,2018-03-08,1371.2222985027595
1,2018-03-09,1385.156370736985
1,2018-03-12,1378.2238949496095
1,2018-03-13,1364.6729238886471
1,2018-03-14,1355.083011095828
1,2018-03-15,1357.399262186937
1,2018-03-16,1353.5078103813303
1,2018-03-19,1334.9272183705257
1,2018-03-20,1323.5261175245741
1,2018-03-21,1333.96375659068
1,2018-03-22,1277.1805583727778
1,2018-03-23,1271.306260875588
1,2018-03-26,1306.3513387980715
1,2018-03-27,1281.0927015631676
1,2018-03-28,1276.3277128695631
1,2018-03-29,1295.975803072621
2,2018-03-01,1330.742
2,2018-03-02,1341.5166
2,2018-03-05,1364.068089198323
2,2018-03-06,1389.0545025697422
2,2018-03-07,1388.5315230841654
2,2018-03-08,1390.0730519800888
2,2018-03-09,1406.436490049211
2,2018-03-12,1390.7929862785327
2,2018-03-13,1389.7587041414124
2,2018-03-14,1384.0556613132321
2,2018-03-15,1371.4725748561737
2,2018-03-16,1391.7418909875173
2,2018-03-19,1368.8355258445608
2,2018-03-20,1375.2165423466915
2,2018-03-21,1396.6240200018708
2,2018-03-22,1363.2334009831986
2,2018-03-23,1339.1137392808453
2,2018-03-26,1392.887952626722
2,2018-03-27,1371.481153844614
2,2018-03-28,1378.7793674618488
2,2018-03-29,1390.2591855493115
3,2018-03-01,1330.742
3,2018-03-02,1341.5166
3,2018-03-05,1356.912212886884
3,2018-03-06,1385.483423551719
3,2018-03-07,1392.459964737481
3,2018-03-08,1374.4590704926463
3,2018-03-09,1390.2279341555234
3,2018-03-12,1399.1853563455136
3,2018-03-13,1403.5440312985168
3,2018-03-14,1403.7950554325373
3,2018-03-15,1395.325458055911
3,2018-03-16,1403.6696472005053
3,2018-03-19,1389.6952983694177
3,2018-03-20,1394.433365038898
3,2018-03-21,1392.111114100233
3,2018-03-22,1360.3942965866263
3,2018-03-23,1339.5482059352366
3,2018-03-26,1377.2524130415622
3,2018-03-27,1364.6060436564826
3,2018-03-28,1371.0164048208399
3,2018-03-29,1384.5098645414075
4,2018-03-01,1330.742
4,2018-03-02,1341.5166
4,2018-03-05,1350.0899696665247
4,2018-03-06,1346.947441563947
4,2018-03-07,1359.6175474967793
4,2018-03-08,1373.523781945744
4,2018-03-09,1390.3981551265213
4,2018-03-12,1391.002026519105
4,2018-03-13,1397.2430401931474
4,2018-03-14,1393.670762346002
4,2018-03-15,1392.3823922540223
4,2018-03-16,1391.171735958981
4,2018-03-19,1382.2470134906507
4,2018-03-20,1385.8632170883807
4,2018-03-21,1383.389716712515
4,2018-03-22,1364.003787954944
4,2018-03-23,1344.8353426888407
4,2018-03-26,1362.5189780814646
4,2018-03-27,1350.760399706618
4,2018-03-28,1360.2632488906456
4,2018-03-29,1373.5564708634506
5,2018-03-01,1330.742
5,2018-03-02,1341.5166
5,2018-03-05,1362.0261203098219
5,2018-03-06,1370.213990044052
5,2018-03-07,1376.3071030122546
5,2018-03-08,1382.3151770096865
5,2018-03-09,1402.7790728438451
5,2018-03-12,1389.5555223659867
5,2018-03-13,1382.9799572311038
5,2018-03-14,1384.8730292918083
5,2018-03-15,1377.1115910188698
5,2018-03-16,1386.1288902942056
5,2018-03-19,1360.3508380949363
5,2018-03-20,1359.5114306012558
5,2018-03-21,1377.2813135021163
5,2018-03-22,1334.7345892345652
5,2018-03-23,1319.7255031200598
5,2018-03-26,1351.7510056603478
5,2018-03-27,1328.1326740421378
5,2018-03-28,1329.2944827394645
5,2018-03-29,1352.885293631544
6,2018-03-01,1330.742
6,2018-03-02,1341.5166
6,2018-03-05,1379.6803653096
6,2018-03-06,1384.8959199836802
6,2018-03-07,1387.687439340613
6,2018-03-08,1396.3252616004938
6,2018-03-09,1405.877846212872
6,2018-03-12,1401.3671007307498
6,2018-03-13,1383.030908367816
6,2018-03-14,1371.7296472323085
6,2018-03-15,1361.3599287307327
6,2018-03-16,1380.1765241510009
6,2018-03-19,1366.2815149006017
6,2018-03-20,1348.8467068724426
6,2018-03-21,1363.2086168729898
6,2018-03-22,1326.3158735453212
6,2018-03-23,1298.4101694255971
6,2018-03-26,1335.8012920103274
6,2018-03-27,1324.9536612814904
6,2018-03-28,1318.5997331502385
6,2018-03-29,1338.5777019133623
7,2018-03-01,1330.742
7,2018-03-02,1341.5166
7,2018-03-05,1351.6728382490855
7,2018-03-06,1367.3762559274487
7,2018-03-07,1377.1750130762382
7,2018-03-08,1387.9835180442249
7,2018-03-09,1412.4817829537221
7,2018-03-12,1417.5712319068116
7,2018-03-13,1409.527449865237
7,2018-03-14,1398.016108533365
7,2018-03-15,1400.0436703302014
7,2018-03-16,1405.991562973244
7,2018-03-19,1398.4776594369027
7,2018-03-20,1407.2483740861571
7,2018-03-21,1423.1952752409306
7,2018-03-22,1377.604565531933
7,2018-03-23,1341.8976907617475
7,2018-03-26,1381.9894813821672
7,2018-03-27,1355.3155178972775
7,2018-03-28,1341.036467395737
7,2018-03-29,1353.0833105801348
8,2018-03-01,1330.742
8,2018-03-02,1341.5166
8,2018-03-05,1363.187719885805
8,2018-03-06,1369.2298608347128
8,2018-03-07,1373.5180205128281
8,2018-03-08,1372.5762616787056
8,2018-03-09,1379.0438858653645
8,2018-03-12,1391.1196744644692
8,2018-03-13,1414.0291396731973
8,2018-03-14,1399.6005918737487
8,2018-03-15,1391.0048460464086
8,2018-03-16,1394.4876236602447
8,2018-03-19,1381.9567749514613
